Date,Screen Name,Tweet Text
02/11/2022 01:46,@AlliPBz,"Me siento bien independiente wey, que bonito"
02/11/2022 01:46,@shelleny_,Por qué siento que me lastima y a la vez me cura?
02/11/2022 01:46,@kareenhj19,"Mañana espero que lo vea como yo lo ví hace unos días, sin siquiera haberlo conocido pero sentí que era él, abrácelo por mi que lo extraña mucho 🥺"
02/11/2022 01:46,@jaquii_rs,hoy varias personas me dijeron q jugué muy chido y ahhh me senti spr bien
02/11/2022 01:46,@lolarosees,Ya no quiero sentir lo que siento
02/11/2022 01:46,@itsnotmatS,Men ya no quiero hablar siento que estoy siendo muy espontánea y sociable que asfixio y asusto a las personas JAJA 🤡🤡🤡
02/11/2022 01:46,@estefaniacrzb,Este vídeo me hace sentir muy bonito 🥺 RT @Don_Favs: Niño tal vez aun no lo sabes pero estos son uno de los mejores recuerdos de tu infancia 🥰
02/11/2022 01:46,@sunflowermylife,"No se dar lo que recibo, siempre doy lo que siento, aunque siento que eso sea más"
02/11/2022 01:46,@xcjbu,aún me hace sentir mala persona todo lo q paso
02/11/2022 01:46,@juan__agudelo23,"Que mal me siento pero bueno, mañana será otro día"
02/11/2022 01:46,@ghulehkuin,amo los q siguen usando XD xD y (? no ironicamente siento q tienen una paz mental q yo no
02/11/2022 01:46,@GabyBravo3,Siento que la vida me ha cambiado desde que matizas lo adorado
02/11/2022 01:46,@Erwinstrider,Escuchar Casino vs Japan es una de las cosas que más amo hacer cuando me siento de la verga.
02/11/2022 01:46,@Leche_dAlmendra,no m da igual pero voi a hacer komo k sí y komo si no me hiciera sentir mal 😂😂😂😂
02/11/2022 01:46,@jfuentes084,Siento que este mes va a ser muy raro
02/11/2022 01:46,@Luismar83012496,Fuera de todo juego si siento que la mariguana mejoro mi vida
02/11/2022 01:46,@_VictorC2_,"El corazón actúa por razones que la razón nunca entenderá, ahora tiene más sentido"
02/11/2022 01:45,@DanRC_28,"No parcero que gonorrea esos flashbacks tan perros hijueputas, siento que cada recuerdo me succiona la dignidad y el amor propio cuál dementor"
02/11/2022 01:45,@dalilaortiz_7,"Sería chévere decirle al corazón que no sienta nada por alguien que quieres pero hace cosas que te hacen sentir mal, pero es tan masoquista que sigue ahí y no entiende de razones."
02/11/2022 01:45,@RossPandic0rnia,el mas minimo punto de empatia que pude haber sentido por august se convirtió en el doble de odio de antes
