Sentimientos;word
confianza;ábaco
miedo;abandonar
negativo;abandonar
tristeza;abandonar
ira;abandonado
miedo;abandonado
negativo;abandonado
tristeza;abandonado
ira;abandono
miedo;abandono
negativo;abandono
tristeza;abandono
sorpresa;abandono
positivo;abba
confianza;abad
miedo;secuestro
negativo;secuestro
tristeza;secuestro
sorpresa;secuestro
negativo;aberrante
desagrado;aberración
negativo;aberración
ira;aborrecer
desagrado;aborrecer
miedo;aborrecer
negativo;aborrecer
ira;aborrecible
desagrado;aborrecible
miedo;aborrecible
negativo;aborrecible
positivo;capacidad
desagrado;abyecto
negativo;abyecto
desagrado;anormal
negativo;anormal
ira;abolir
negativo;abolir
negativo;abolición
desagrado;abominable
miedo;abominable
negativo;abominable
ira;abominación
desagrado;abominación
miedo;abominación
negativo;abominación
negativo;abortar
desagrado;aborto
miedo;aborto
negativo;aborto
tristeza;aborto
negativo;abortivo
tristeza;abortivo
positivo;anteriormente mencionado
negativo;abrasión
negativo;abrogar
sorpresa;abrupto
negativo;absceso
tristeza;absceso
miedo;ausencia
negativo;ausencia
tristeza;ausencia
negativo;ausente
tristeza;ausente
negativo;ausente
tristeza;ausente
negativo;absentismo
positivo;absoluto
alegría;absolución
positivo;absolución
confianza;absolución
positivo;absorbido
negativo;absurdo
negativo;absurdo
anticipacion;abundancia
desagrado;abundancia
alegría;abundancia
negativo;abundancia
positivo;abundancia
confianza;abundancia
alegría;abundante
positivo;abundante
ira;abuso
desagrado;abuso
miedo;abuso
negativo;abuso
tristeza;abuso
negativo;abismal
tristeza;abismal
miedo;abismo
negativo;abismo
tristeza;abismo
positivo;académico
confianza;académico
positivo;academia
anticipacion;acelerar
positivo;aceptable
positivo;aceptación
positivo;accesible
miedo;accidente
negativo;accidente
tristeza;accidente
sorpresa;accidente
miedo;accidental
negativo;accidental
sorpresa;accidental
sorpresa;accidentalmente
anticipacion;espaldarazo
alegría;espaldarazo
positivo;espaldarazo
sorpresa;espaldarazo
confianza;espaldarazo
positivo;alojamiento
anticipacion;acompañamiento
alegría;acompañamiento
positivo;acompañamiento
confianza;acompañamiento
alegría;realizar
positivo;realizar
alegría;consumado
positivo;consumado
positivo;logro
positivo;acuerdo
confianza;acuerdo
confianza;cuenta
positivo;responsabilidad
confianza;responsabilidad
positivo;explicable
confianza;explicable
confianza;contador
confianza;cuentas
positivo;autorizado
confianza;autorizado
positivo;accueil
positivo;preciso
confianza;preciso
ira;maldito
miedo;maldito
negativo;maldito
tristeza;maldito
ira;acusación
desagrado;acusación
negativo;acusación
negativo;acusativo
ira;acusado
miedo;acusado
negativo;acusado
ira;acusador
miedo;acusador
negativo;acusador
ira;acusando
miedo;acusando
negativo;acusando
positivo;as
negativo;dolor
tristeza;dolor
alegría;lograr
positivo;lograr
confianza;lograr
anticipacion;logro
alegría;logro
positivo;logro
confianza;logro
negativo;dolor
tristeza;dolor
negativo;ácido
positivo;Reconocimiento
positivo;adquirir
anticipacion;adquisidor
positivo;adquisidor
miedo;acróbata
alegría;acróbata
positivo;acróbata
confianza;acróbata
positivo;acción
ira;procesable
desagrado;procesable
negativo;procesable
positivo;real
positivo;agudeza
positivo;perspicacia
positivo;adaptar
positivo;adaptable
ira;sumador
desagrado;sumador
miedo;sumador
negativo;sumador
tristeza;sumador
negativo;adiccion
anticipacion;direcciones
positivo;direcciones
positivo;adepto
positivo;adecuación
confianza;adherente
negativo;adiposo
miedo;juzgar
negativo;juzgar
positivo;adjunto
confianza;administrativo
alegría;admirable
positivo;admirable
confianza;admirable
positivo;almirante
confianza;almirante
alegría;admiración
positivo;admiración
confianza;admiración
positivo;admirar
confianza;admirar
positivo;admirador
positivo;admisible
confianza;admisible
miedo;amonestación
negativo;amonestación
alegría;adorable
positivo;adorable
alegría;adoración
positivo;adoración
confianza;adoración
anticipacion;adorar
alegría;adorar
positivo;adorar
confianza;adorar
anticipacion;a la deriva
miedo;a la deriva
negativo;a la deriva
tristeza;a la deriva
negativo;espurio
desagrado;adulterio
negativo;adulterio
tristeza;adulterio
anticipacion;avanzar
miedo;avanzar
alegría;avanzar
positivo;avanzar
sorpresa;avanzar
positivo;avanzado
positivo;avance
positivo;ventaja
positivo;ventajoso
anticipacion;adviento
alegría;adviento
positivo;adviento
